Event Code,Short Description,Full Description
41813,File or directory access error,"Task: arg . Unable to open file arg for writing, or directory specified does not exist. Program ref: arg . Probable causes File may be write protected. File or directory may have incorrect name. The directory specified does not exist. No storage space available on device. Recommended actions 1 Check if the file is write protected, and in such case change the setting. 2 Make sure the file and directory names are correct. 3 Make sure that the directory exist. 4 Make sure there is enough storage space available. Recovery: arg ."
41814,Reference Error,Task: arg . The reference in argument arg is not an entire persistent variable. Continues on next page Technical reference manual - Event logs for RobotWare 7 223 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 5 Number series: 4 xxxx Continued
41815,Reference error in Cyclic bool,Task: arg . The argument arg is not valid as a condition. Program ref: arg . Consequences The program execution is stopped immediately. Probable causes An invalid argument has been used in the condition part of SetupCyclicBool. Recommended actions Consult the manual and replace arg with a valid argument.
41816,Too many connected Cyclic bool,Task: arg . It is only allowed to setup arg number of cyclic bools. Consequences The program execution is stopped immediately. The given condition will not be connected to arg . Probable causes The maximum number of cyclic bools ( arg ) has already been setup. Recommended actions Remove all cyclic bools not used for the moment and try again.
41817,I/O Error in Cyclic bool,"Failure while evaluating a logical expression setup with RAPID instruction SetupCyclicBool. The signal arg is unknown to the system. Consequences The program execution is stopped immediately. Probable causes 1 Connection has been lost with the I/O device. 2 If the signal is defined in the RAPID program, it must be connected to the configured signal with instruction AliasIO. Recommended actions 1 Re-establish the connection with the I/O device. 2 Re-connect the RAPID program defined signal using AliasIO."
41818,SDB Error in Cyclic bool,Failure while evaluating a logical expression setup with RAPID instruction SetupCyclicBool. The persistent variable arg is unknown to the system. Consequences The program execution is stopped immediately. Probable causes The module containing the declaration of arg has probably been unloaded. Recommended actions 1 Reload the module containing the declaration of . 2 Disconnect the logical expression containing using RemoveCyclicBool. 3 Check that no LOCAL PERS are used in the logical expression.
41819,Integer Error in Cyclic bool,"Failure while adding or evaluating a logical expression, setup with RAPID instruction SetupCyclicBool. The persistent variable arg doesn't have an integer value. Consequences The program execution is stopped immediately. Probable causes arg doesn't have an integer value. Recommended actions Make sure that arg has an integer value."
41820,Invalid EGM identity,Task: arg . The EGM identity arg is not valid. Program ref: arg . Consequences The program execution is stopped immediately. Continues on next page 224 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 5 Number series: 4 xxxx Continued
41821,No EGM signals specified,Task: arg . No EGM input signal was specified in arg . Program ref: arg . Consequences The program execution is stopped immediately. Probable causes Recommended actions At least one signal has to be specified in arg .
41822,No data from the UdpUc device,"Task: arg . No expected data packets have been received for the EGM instance arg during arg seconds. Rapid Ref: arg . Consequences The program execution is stopped immediately. Recommended actions 1 Check the connection between the controller and the UdpUc device """". 2 Check that the UdpUc device """" is working properly. 3 Increase the value () for \CommTimeout in EGMSetupUC. Recovery: ERR_UDPUC_COMM."
41823,Invalid frame type,Task: arg . The frame type arg is not allowed together with the RAPID instruction arg . Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Correct the used frame type.
41824,Not possible to open the UdpUc device,It was not possible to open the external device arg that was specified in the RAPID instruction arg . Consequences The program execution is stopped immediately. Recommended actions Check if: 1 The device name is spelled correctly. 2 The device is connected. 3 The device is up and running.
41825,EGM not connected,"The state of the EGM instance with EGM identity arg is not connected. Consequences The program execution is stopped immediately. Recommended actions Use the instructions EGMGetId and/or EGMSetupAI, EGMSetupAI, EGMSetupGI or EGMSetupUC, to connect EGM. For more information see the User Manual for EGM."
41826,EGM mode mismatch,"There is an EGM mode mismatch for EGM identity arg . It is important to use the same EGM mode (Joint or Pose) for EGMSetupAI, EGMSetupAO, EGMSetupGI, EGMSetupUdpUc, EGMActXX and EGMRunXX. Consequences The program execution is stopped immediately. Recommended actions Use EGMSetupAI, EGMSetupAO, EGMSetupGI and EGMSetupUdpUc with the \Joint switch together with EGMActJoint and EGMRunJoint. Use EGMSetupAI, EGMSetupAO, EGMSetupGI and EGMSetupUdpUc with the \Pose switch together with EGMActPose and EGMRunPose."
41827,TCP robot missing,It is not allowed to use EGM in a RAPID task without TCP robot. Consequences The program execution is stopped immediately. Continues on next page Technical reference manual - Event logs for RobotWare 7 225 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 5 Number series: 4 xxxx Continued
41828,Too many EGM instances,Task: arg . There are no more EGM instances available. The maximum number per RAPID task is arg . Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions You have to disconnect an EGM instance using EGMReset before you can connect another.
41829,EGM state change error,The state of the EGM instance with EGM identity arg could not be changed to arg . Consequences The program execution is stopped immediately. Recommended actions 1 Try to reset the EGM instance using the RAPID instruction EGMReset. 2 Move PP to Main to reset all EGM instances.
41830,Error sending EGM UdpUc message,It was not possible to write the whole UdpUc message to the external device arg that is connected to EGM. arg of arg were sent. Consequences The program execution is stopped immediately. Recommended actions 1 Check the connection between the controller and the external device . 2 Check the UDP server application on the external device . 3 Restart the controller and/or the external device .
41831,ContactL Warning,"Task: arg . No hit during ContactL. Before performing next instruction, make sure that TCP is moved back to the start position of the ContactL path. Program ref: arg . Consequences If no repositioning is done, before restart of ContactL, movement that can cause damage might occur. Recommended actions Recovery: arg ."
41832,EGM UdpUc inbound message contains,"The UdpUc server application on the external device arg that is feeding EGM with position data, sent invalid data. Consequences The program execution is stopped immediately. Recommended actions 1 Check that the UDP server application on the external device sends data according to the specification in egm.proto. 2 Check that the UDP server application on the external device sends data is suitable for the mechanical unit it is aimed for."
41833,EGM input data from signals is invalid,"The signal arg that is feeding EGM with position data, sent invalid data. Consequences The program execution is stopped immediately. Recommended actions 1 Check that the input data from the signal sends data that are suitable for the mechanical unit it is aimed for."
41834,ALXT General error,There was a general error in the communication with the ALXT Power Source connected to device arg . The message with identity arg got an error status arg . Consequences Welding might not work. Recommended actions You might want to handle errno arg in your error handler Continues on next page 226 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 5 Number series: 4 xxxx Continued
41835,ALXT timeout,There was a timeout error in the communication with the ALXT Power Source connected to device arg . The message with identity arg was not answered in time. Consequences Welding might not work. Recommended actions You might want to handle errno arg in your error handler.
41836,Wrong dimension in PERS array,"Dimension of arg is arg , which is too large. Maximal allowed dimension for this array is arg . The maximum allowed value is available as RAPID constant EGM_MAX_RAPID_DNUM. Consequences The program execution is stopped immediately. Recommended actions Change dimension of arg to the constraining arg values. Check and change the RAPID program. The maximum allowed value is available as RAPID constant EGM_MAX_RAPID_DNUM."
41840,Argument error,"Task: arg . No valid triggdata in TriggArray argument. Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Define triggdata by executing instruction TriggIO, TriggInt, TriggEquip, TriggSpeed or TriggCheckIO before current instruction."
41841,Argument error,Task: arg . The size of the array used in argument arg is arg . The max size of the array is limited to arg elements. Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Check and change the RAPID program.
41842,Argument error,"Task: arg . Instruction arg used with argument arg and one of the optional arguments T2, T3, T4, T5, T6, T7 or T8. Program ref: arg . Consequences The program execution is stopped immediately. Probable causes An illegal combination of arguments was used. Recommended actions Correct the RAPID program."
41843,Instruction not allowed in TRAP or service,Task: arg . It is not allowed to use the RAPID instruction arg in a TRAP or a service routine. Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Remove the instruction from your RAPID program.
41844,Search Error,"Task: arg . The persistent variable arg for the SearchX instruction is already set to the specified value (high or low) at the start of searching. Before performing next search, make sure that TCP is moved back to the start position of the search path. Program ref: arg . Consequences If no repositioning is done, before restart of circular search, movement that can cause damage might occur. Recommended actions Recovery: arg . Continues on next page Technical reference manual - Event logs for RobotWare 7 227 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 5 Number series: 4 xxxx Continued"
41845,Outside reach Error,Task: arg . The position (robtarget) is outside the robot's working area. Program ref: arg . Probable causes • The robtarget used is outside reach. Recommended actions Use a robtarget that is within the robot's working area. Recovery: arg .
41846,Signal not writable,Task: arg . The I/O signals bit(s) is set by a device transfer operation. The signal arg is read only. Program ref: arg . Consequences The program execution is stopped immediately. Probable causes The I/O signals bit(s) is set by a device transfer operation. Recommended actions Check the I/O configuration for I/O signals and device transfer. Change signal used in RAPID program.
41847,Signal not writable,The I/O signals bit(s) is set by a device transfer operation. The signal arg is read only. Consequences The program execution is stopped immediately. Probable causes The I/O signals bit(s) is set by a device transfer operation. Recommended actions Check the I/O configuration for I/O signals and device transfer. Change signal used in RAPID program.
41848,Too low visualization time,Task: arg . The specified visualization time is too low. Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Check the RAPID documentation regarding the minimum visualization time. Increase the visualization time used in the RAPID program.
41849,Bad combination of values used in,"Task: arg . The specified visualization time arg is equal or higher than the timeout arg for the instruction. Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Change the visualization time used in the RAPID program, or change the maximum period of waiting time permitted."
41850,User interface already active,Task: arg . A message is already active on the FlexPendant. A message launched by instruction arg must be aborted before launching a new message. Program ref: arg . Consequences The message will not be presented on the FlexPendant. This error can be handled in an error handler. Probable causes A arg message is already active on the FlexPendant. Recommended actions Recovery: arg . The current active arg message can be deactivated with instruction arg .
41851,Wrong value type used,"Task: arg . Wrong value type used in optional argument arg . The only valid types are bool, num or dnum, or any alias type of those three base types. Program ref: arg . Continues on next page 228 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 5 Number series: 4 xxxx Continued"
41852,Wrong signal value for signal,"It is not possible to set the I/O signal arg to value arg . Consequences The program execution is stopped immediately. Probable causes The I/O signal arg is configured wrong, or the value that should be set is wrong. The signal value that is used has been read from a persistent variable specified in one of the setup instructions used for Trigg defining conditions and actions for setting a digital, a group of digital, or an analog output signal at a fixed position. The error is detected when the actual signal setting should be done. Recommended actions Check the I/O configuration for I/O signal. Check the value of the persistent variable that is used in arg for the setup instruction(s) for Trigg."
41860,Evaluation error in Cyclic bool,Failure while evaluating the Cyclic bool arg . Consequences The evaluation of arg has been stopped immediately. Probable causes 1 The module containing the declaration of has been unloaded. 2 An I/O signal needed to evaluate the logical expression connected to has been lost (see earlier error logs). 3 The I/O signal that is updated with the cyclic bool value has been lost. Recommended actions 1 Reload the module containing the declaration of . 2 Re-establish the connection with the I/O device. 3 Re-connect the RAPID program defined signal using AliasIO.
41861,Cyclic bool has been removed,Failure while evaluating the Cyclic bool arg . Consequences The evaluation of arg has been stopped immediately and the Cyclic bool has been removed. Probable causes 1 The module containing the declaration of has been unloaded. 2 An I/O signal needed to evaluate the logical expression connected to has been lost (see earlier error logs). 3 The I/O signal that is updated with the cyclic bool value has been lost. Recommended actions 1 Reload the module containing the declaration of . 2 Re-establish the connection with the I/O device. 3 Re-connect the RAPID program defined signal using AliasIO. 4 Re-connect the logical expression.
41862,ASCII log setup failed,Not possible to setup ASCII log for the cyclic bool arg . Probable causes The cyclic bool is not active when activation of ASCII log is done with RAPID instruction StartAsciiLog. Recommended actions Use RAPID instruction SetupCyclicBool using cyclic bool arg before using StartAsciiLog.
41863,Mechanical unit not TCP robot,Task: arg . The mechanical unit arg is not a TCP robot. arg can only be used if the mechanical unit is a TCP robot. Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Use arg with TCP robot only.
41864,Argument error,Task: arg . Bad combination of switches. The switch arg can only be combined with switch arg . Program ref: arg . Consequences The program execution is stopped immediately. Continues on next page Technical reference manual - Event logs for RobotWare 7 229 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 5 Number series: 4 xxxx Continued
41865,Invalid MAC address,Task: arg . Invalid MAC address arg . Program ref: arg . Consequences The program execution is stopped immediately. Probable causes The format might be wrong. Recommended actions Check the MAC address and correct the address used. The length of the MAC-address in format XX:XX:XX:XX:XX:XX.
41880,AliasCamera Define Error,"Task: arg . The camera in argument CameraName or FromCamera: arg , must be defined in the Communication configuration (SIO,cfg) and the camera in argument ToCamera: arg , must be declared in the RAPID program and not defined in the Communication configuration (SIO,cfg). Program ref: arg . Recommended actions Check the Communication configuration and the RAPID program. Recovery: arg ."
41881,Persistent boolean Break,Task: arg . A value change on a persistent boolean variable interrupted the execution. Program ref: arg . Recommended actions Recovery: arg .
41882,Error in Cyclic bool,Task: arg . The condition used in SetupCyclicBool is too complex. Program ref: arg . Consequences The program execution is stopped immediately. Probable causes The condition used in SetupCyclicBool in SetupCyclicBool is too complex. Recommended actions Divide the expression into two subexpressions to make each subexpression less complex than the original expression.
41883,,"Task: arg . The file has been edited or a previous arg has been interrupted, and then the file was corrupted. Program ref: arg . Consequences The file has been renamed to arg . The arg will be created again next time the routine is executed. All history will be lost in arg , but can be found in the file arg in the HOME: directory. Probable causes File edited or corrupted by a previous interrupted run of the routine."
41884,CyclicBrakeCheck Error,Task: arg . SafeMove option or the EPS option is a requirement if running CyclicBrakeCheck. Program ref: arg . Consequences The program execution is stopped immediately. Probable causes Using CyclicBrakeCheck without required options. Recommended actions Use BrakeCheck to test brakes when not having any SafeMove option or EPS option.
41885,BrakeCheck Error,"Task: arg . When having a SafeMove option or the EPS option, CyclicBrakeCheck should be used to test brakes. Program ref: arg . Continues on next page 230 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 5 Number series: 4 xxxx Continued"
41886,CyclicBrakeCheck Error,"Task: arg . CyclicBrakeCheck is already active. The CyclicBrakeCheck routine cannot be executed from several tasks or execution levels at the same time. Currently task arg is executing CyclicBrakeCheck on execution level arg (LEVEL_NORMAL=0, LEVEL_SERVICE=2). Program ref: arg . Consequences The program execution is stopped immediately. Probable causes More than one call to procedure CyclicBrakeCheck. Recommended actions 1 Check that only one task is executing CyclicBrakeCheck routine if using a multimove system. 2 If calling CyclicBrakeCheck from a service routine, check that the execution of CyclicBrakeCheck on normal level has been ended. To cancel an active CyclicBrakeCheck, move program pointer to cursor or move program pointer to main."
41887,BrakeCheck Error,"Task: arg . BrakeCheck is already active. The BrakeCheck routine cannot be executed from several tasks or execution levels at the same time. Currently task arg is executing BrakeCheck on execution level arg (LEVEL_NORMAL=0, LEVEL_SERVICE=2). Program ref: arg . Consequences The program execution is stopped immediately. Probable causes More than one call to procedure BrakeCheck. Recommended actions 1 Check that only one task is executing BrakeCheck routine if using a multimove system. 2 If calling BrakeCheck from a service routine, check that the execution of BrakeCheck on normal level has been ended. To cancel an active BrakeCheck, move program pointer to cursor or move program pointer to main."
41888,Not allowed command,"Task: arg . The instruction/function arg cannot be used when you have an ongoing brake check. Program ref: arg . Consequences The program execution is stopped immediately. Move PP to main. Probable causes A brake check is currently running, and then it is not allowed to use arg . Recommended actions End execution of CyclicBrakeCheck or BrakeCheck routine before using arg ."
41889,Value error,"Task: arg . The value read is an integer and above the maximum integer value for num, 8388608. Value read: arg . Program ref: arg . Consequences The program execution is stopped immediately. Probable causes A num variable is used to store the read integer value, and that value is above the maximum integer value for a num. Recommended actions Change datatype used in arg to a dnum variable."
41890,Parameter error,Task: arg . The value used in argument NumPoints ( arg ) is larger than the array size of argument Points ( arg ). Program ref: arg . Continues on next page Technical reference manual - Event logs for RobotWare 7 231 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 5 Number series: 4 xxxx Continued
41891,Too few points,Task: arg . Need at least two points to identify line. Used points: arg . Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Correct the RAPID program.
41892,Too few points,Task: arg . Need at least three points to identify plane. Used points: arg . Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Correct the RAPID program.
41893,Too few points,Task: arg . Need at least three points to identify circle. Used points: arg . Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Correct the RAPID program.
41894,Too few points,Task: arg . Need at least four points to identify sphere. Used points: arg . Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Correct the RAPID program.
41895,Too many points,Task: arg . Can handle at most 100 points. Used points: arg . Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Correct the RAPID program.
41896,Argument error,Task: arg . Cannot calculate a plane because the three points are collinear. Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Correct the RAPID program.
41897,Argument error,Task: arg . Cannot calculate a line because the two points are too close. Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Correct the RAPID program.
41898,Argument error,Task: arg . The point distribution is not a plane. Program ref: arg arg Continues on next page 232 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 5 Number series: 4 xxxx Continued
41899,Argument error,Task: arg . The point distribution is not a line. Program ref: arg arg arg arg . Consequences The program execution is stopped immediately. Recommended actions Correct the RAPID program.
41900,Orientation Value Error,"Task: arg . Wrong orientation value in arg . Program ref: arg . Recommended actions All used orientations must be normalized, i.e. the sum of the quaternion elements squares must equal 1. Recovery: arg ."
41901,Text Table Name not valid,Task: arg . The text table name is too long. Max arg characters can be used in the name. Program ref: arg . Consequences The text table name is not valid. Probable causes Too long name used as text table name. Recommended actions Change the name on the text table.
41902,Speed override changed,"Task: arg . The speed override set by the operator from the FlexPendant has been changed. To get right performance, the speed override has to be set to 100%. Current setting: arg . Consequences The program execution is stopped immediately. Probable causes The speed override has been changed during execution of routine. Recommended actions Move PP, change the speed to 100%, and restart the routine."
41903,"Brake Check,","Task: arg . The Brake Check program has detected that tuning is used or has been used. Current file arg cannot be modified with the new entry arg . Program ref: arg . Consequences arg will be renamed to arg . A new file arg will be created. Probable causes Tuning is used or has been used for Brake Check program. The file zzz_internal_cbc_tuning.mod exist in the HOME: directory, or has been used earlier. Recommended actions No action needed."
41905,Argument error,Task: arg . Cannot calculate a sphere because the points are distributed along a line. Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Correct the RAPID program. Continues on next page Technical reference manual - Event logs for RobotWare 7 233 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 5 Number series: 4 xxxx Continued
41906,Path Not In Stop Point,"Task: arg . One or several mechanical units connected to task arg is not in a stop point. A path is currently active. Program ref: arg . Consequences The program execution is stopped immediately. Probable causes A mechanical unit is not in a stop point. The reason for this error is one of the following: 1 The break check program is executed as a service routine. The mechanical units connected to other tasks than the one executing the service routine will not be forced into a fine point. 2 One or several tasks is deactivated in the task selection panel, and then the paths cannot be finished for all mechanical units. Recommended actions Before executing the brake check program, end the ongoing path for all mechanical units in all tasks. This is done by stepping the movements forward."
41907,Too far from path,Task: arg . One or several mechanical units connected to task arg is too far from the path to perform a regain movement. Program ref: arg . Consequences The execution of the routine arg has been stopped. Probable causes The mechanical unit has been jogged from the path. Recommended actions 1 Start execution again and choose if regain or remove path. 2 Cancel call routine to end .
41908,Instruction Error,"Task: arg . No user logged on from FlexPendant. Program ref: arg . Probable causes Not using any FlexPendant, or running without a Virtual FlexPendant in RobotStudio. Recommended actions Recovery: arg ."
41910,Collision simulated with instruction,Task: arg Instruction arg has been used to simulate a collision. Program ref: arg Probable causes arg simulated a collision. Recommended actions Remove arg in a RAPID program used in production. The instruction should only be used in tests.
41911,Not valid character used in RAPID string,Task: arg A character used in the RAPID string arg can not be converted to an ISO 8859-1 character. Program ref: arg Consequences The program execution is stopped immediately. Recommended actions Correct the RAPID program.
41912,No ongoing camera set parameter request,Task: arg . There is no ongoing request to set a parameter to camera arg . Program ref: arg . Consequences The program execution is stopped immediately. Probable causes No set parameter request has been made for camera arg . Recommended actions Check that arg has been used before current instruction. Recovery: arg . Continues on next page 234 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 5 Number series: 4 xxxx Continued
41913,Preceding instruction caused set,Task: arg . Preceding instruction failed and also caused set parameter to fail for camera arg . Program ref: arg . Consequences The program execution is stopped immediately. Probable causes A preceding load order was requested but failed for camera arg . Recommended actions Check the preceding arg instruction. Recovery: arg .
41914,Cancel set parameter for camera,The ongoing set parameter arg for camera arg has been cancelled. Consequences The parameter may or may not have been successfully set in the camera. Probable causes There has been a PP movement in the RAPID program before the request was completed. The parameter set is not confirmed set into the camera before the instruction arg has been executed. Recommended actions Check the parameter value or set it again for the camera named arg .
41915,Load or Save module with old module,The filename arg cannot be saved in old module format (.mod). The file must be loaded or saved in .modx format. Consequences The cannot be saved Probable causes The current system only fully support saving and loading modules of type modx or sysx(UTF8). Recommended actions Use modx or sysx when loading or saving the module.
41916,String too long,Task: arg . The string is too long ( arg bytes). Not valid RAPID string length. Program ref: arg . Consequences The program execution is stopped immediately. Probable causes Some ISO8859-1 characters are multibyte characters in UTF8. Converting data from ISO8859-1 encoded characters to UTF8 encoded characters could cause multibyte in UTF8 . Recommended actions Check the RAPID program and the arguments used in arg .
41917,The number of characters does not fit in,"Task: arg The specified number of characters arg (argument NoOfChars) to read does not fit in a RAPID string. A RAPID string can consist of max 80 bytes. Program ref: arg Probable causes Some read characters are multibyte characters, or is converted to multibyte characters (if using ISOLatin1Encoding switch). Recommended actions Decrease number of characters to read. Analyze characters that is read, and adapt RAPID program."
41918,Execution Error,Task: arg Automatic or Manual Full Speed operating mode is not used. Reduced speed affects the functionality. Consequences The program execution is stopped immediately. Probable causes Current operating mode is arg Recommended actions Change to automatic or manual full speed operating mode. Continues on next page Technical reference manual - Event logs for RobotWare 7 235 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 5 Number series: 4 xxxx Continued
41919,Undefined value,Task: arg The value of tan arg .is undefined. Program ref: arg Recommended actions Recovery: arg
41920,Not accessible path,Task: arg The path arg is not a valid path or a path that is not accessible due to restrictions. Program ref: arg Consequences The program execution is stopped immediately. Probable causes Wrong path used. Recommended actions Check the path used.
41921,Parameter Error,"Task: arg . The argument arg is of the type arg . arg is write protected, and can not be overwritten. Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions • Check the data type. • Datatype signaldi, signaldo, signalgi, signalgo, signalai, signalao and mecunit can not be used. • Use AliasIO to get an alias signal name. • To set a signal value, use SetDO, SetAO or SetGO. • GetNextMechUnit can be used to fetch mechanical units."
41922,Value error,"Task arg . Program ref: arg . The string is arg bytes, and it exceeds the maximum number of bytes for a RAPID string. Recommended actions Recovery: arg ."
41923,Obsolete switch,"Task: arg . Program ref: arg . The switch arg is obsolete in arg . It will work for now, but will be removed in a later release. Use arg instead and you will have the same functionality."
41924,Wrong combination of optional arguments,"Task arg . Program ref: arg . When using optional argument arg , optional argument arg must also be used. Consequences The program execution is stopped immediately. Recommended actions Correct the RAPID program."
41925,Cyclic bool setup error,"Task: arg . The boolean persistent variable arg used as Flag argument in SetupCyclicBool is a LOCAL PERS. Currently, LOCAL PERS is not supported for cyclic bool functionality. Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Use PERS bool or TASK PERS bool when working with cyclic bool functionality."
41926,Not enough access rights for the operation,Task: arg . The requested operation on the camera arg requires access rights that the logged in camera user is missing. Program ref: arg . Consequences The program execution is stopped immediately. Continues on next page 236 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 5 Number series: 4 xxxx Continued
41927,Camera out of memory,Task: arg . Failed to load the job named arg for camera arg . Program ref: arg . Consequences The program execution is stopped immediately. Probable causes The camera arg is out of memory. Recommended actions Check the size of the job arg and the current job size availability on the camera.
41930,App does not exist,"Task: arg . • The app could not be found, or does not exist. Status arg . Program ref: arg . Consequences The app will not be launched. Probable causes • The app could not be found. Recommended actions • Check input parameters. • Make sure that the app has been loaded correctly to the robot controller. Recovery: arg ."
41931,App found but could not be launched.,Task: arg . 1 The App found but could not be launched. Status arg . Program ref: arg . Consequences The app will not be launched. Probable causes • The app will not be launched. Recommended actions • Check input parameters. • Make sure that the app has been loaded correctly to the robot controller. Recovery: arg .
41932,Invalid arguments specified,"Task: arg . • Invalid arguments specified. Status arg . Program ref: arg . Consequences The app was launched, but all arguments could not be handled. Probable causes • Invalid arguments specified. Recommended actions • Check input parameters. Recovery: arg ."
41934,Fatal UIDisplay error,Task: arg . Unknown error code arg received. Program ref: arg . Consequences The program execution is stopped immediately. Recommended actions Report this to ABB Robotics. Technical reference manual - Event logs for RobotWare 7 237 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 5 Number series: 4 xxxx Continued
50021,Joint position error,"Actual position of joint arg is too far away from the ordered position. Recommended actions Check tuning parameters, external forces or hardware."
50024,Corner path failure,"Task: arg . Corner path executed as stop point due to some of the following reasons: • Time delay. • Closely programmed points. • System requires high CPU load. Program ref. arg . Recommended actions • Reduce the number of instructions between consecutive move instructions. • Reduce speed, use wider spaced points, use /CONC option. • Increase system parameter 'Prefetch Time' in topic Motion and type Motion Planner. • If the stop comes at the first movement after a finepoint, increase the system parameter 'Interpolation Buffer Startup Adjust' in topic Motion and type Motion Planner. • The warning can be suppressed using the RAPID instruction CornerPathWarning."
50025,Restart interrupted,Current position is too far from path. Recommended actions Make a new restart with regain.
50026,Close to singularity,"Task: arg . Robot too close to singularity. Program ref. arg . (Internal status: arg ). Recommended actions Modify the robot path away from the singularity or change the jogging mode for the robot to axis-by-axis jogging. In the case when the robot position is dependent on an additional axis being jogged then that dependency may also need to be relaxed, that is by changing the jogging coordinate system for the robot from world to base."
50027,Joint Out of Range,Position for arg joint arg is out of working range. Recommended actions Use the joystick to move the joint into its working range.
50028,Jog outside working range,Position for arg joint arg is out of working range. Recommended actions Use the joystick to move the joint in opposite direction.
50031,Command not allowed,System parameters cannot be changed in Motors On state. Recommended actions Change to Motors Off.
50032,Command not allowed,An attempt was made to calibrate while in Motors On. Recommended actions Change to Motors Off.
50033,Command not allowed,An attempt was made to commutate the motors in Motors On. Recommended actions Change to Motors Off. Continues on next page Technical reference manual - Event logs for RobotWare 7 239 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 6 Number series: 5 xxxx
50035,Command not allowed,An attempt was made to synchronize in Motors On. Recommended actions Change to Motors Off.
50036,Correct regain impossible,"A stop occurred with too many close points with corner zones. At restart the robot will move to a point farther forward in the program. Recommended actions Reduce the number of close points, increase the distance between them or reduce the speed."
50037,Motors On order ignored,Motors On order ignored since the previous stop was not yet acknowledged. Recommended actions Order Motors On again.
50042,Could not create path,The path could not be created. Recommended actions • Increase the distance between close points. • Decrease speed. • Change acceleration.
50050,Position outside reach,"Position for arg joint arg is outside working area. Joint 1-6 : Number of the axis which causes the error. Joint 23: Combination of axis 2 and 3 causes the error. Probable causes The reason may be that ConfL_Off is used and a movement is too large, more than 90 degrees for an axis. Recommended actions • Check work object or working range. • Move the joint in joint coordinates. • Check Motion system parameters. • Insert intermediate points on large movements."
50052,Joint speed error,"The speed of joint arg is wrong relative the ordered speed due to error in system or collision. Recommended actions • Check the tune parameters, external forces on the joint and hardware. • Reduce programmed speed."
50053,Too large revolution counter difference,"Too large revolution counter difference for joint arg . The system has detected too large a difference between the actual revolution counter value on the serial measurement board and the value anticipated by the system. Consequences The robot is not calibrated and may be jogged manually, but no automatic operation is possible. Probable causes The position of the robot arm may have been changed manually while the power supply was switched off. The serial measurement board, resolver or cables may also be faulty. Recommended actions 1 Update the revolution counter. 2 Check resolver and cables. 3 Check the serial measurement board to determine whether it is faulty. Replace the unit if faulty."
50055,Joint load too high,"Actual torque on joint arg too high. Might be caused by incorrect load data, too high acceleration, high external process forces, low temperature or hardware error. Recommended actions • Check load data. • Reduce acceleration or speed. • Check hardware."
50056,Joint collision,Actual torque on joint arg is higher than ordered while at low or zero speed. Might be caused by jam error (the arm has got stuck) or hardware error. Continues on next page 240 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 6 Number series: 5 xxxx Continued
50057,Joint not synchronized,The position of joint arg after power down/failure is too far away from the position before the power down/failure. Recommended actions Make a new update of the revolution counter.
